task,model,icil,temperature,assistant_format,num_shots,accuracy
calling,text-davinci-002,True,0.0,False,0,1.0
calling,text-davinci-003,True,0.0,False,0,1.0
calling,davinci,True,0.0,False,0,0.8933333333333333
german,text-davinci-002,True,0.0,False,0,0.94
german,text-davinci-003,True,0.0,False,0,1.0
german,davinci,True,0.0,False,0,0.86
antonym,text-davinci-002,True,0.0,False,0,0.6133333333333333
antonym,text-davinci-003,True,0.0,False,0,0.64
antonym,davinci,True,0.0,False,0,0.56
incorrect,text-davinci-002,True,0.0,False,0,0.66
incorrect,text-davinci-003,True,0.0,False,0,0.76
incorrect,davinci,True,0.0,False,0,0.5
hhh,text-davinci-002,True,0.0,False,0,1.0
hhh,text-davinci-003,True,0.0,False,0,1.0
hhh,davinci,True,0.0,False,0,0.92
name,text-davinci-002,True,0.0,False,0,0.6666666666666666
name,text-davinci-003,True,0.0,False,0,0.68
name,davinci,True,0.0,False,0,0.64
sentiment,text-davinci-002,True,0.0,False,0,0.8533333333333334
sentiment,text-davinci-003,True,0.0,False,0,0.9066666666666666
sentiment,davinci,True,0.0,False,0,0.9066666666666666
